Id,Label,modularity_class,eigencentrality,betweenesscentrality,Eccentricity,closnesscentrality,kasus,sumber_data
255,@handipayana,25,0,0,1,1,change,#balinotforsale
256,@hendrawsaputro,57,0,0,1,1,change,#balinotforsale
257,@heri_darmawan2,58,0,0,1,1,change,#balinotforsale
258,@iinjayanthi,2,0,0,4,0.34,change,#balinotforsale
259,@imacherz,0,0,0,4,0.395349,change,#balinotforsale
260,@inyomen,2,0.003168,0,5,0.283333,change,#balinotforsale
261,@ismulyadi_,59,0,0,1,1,change,#balinotforsale
262,@ka_si_uzi,0,0,0,4,0.395349,change,#balinotforsale
263,@kandanggelap,0,0,0,4,0.395349,change,#balinotforsale
264,@karmita_sari,3,0.003168,1,1,1,change,#balinotforsale
265,@kelvinNUFC,0,0,0,4,0.395349,change,#balinotforsale
266,@kendu_burnsred,2,0,0,5,0.3,change,#balinotforsale
267,@ketut_ronal,2,0,0,4,0.34,change,#balinotforsale
268,@kikisanjaya_,60,0,0,1,1,change,#balinotforsale
269,@kresnadodox,2,0,0,4,0.34,change,#balinotforsale
270,@labskyy,0,0,0,4,0.395349,change,#balinotforsale
271,@londmbolond,61,0,0,1,1,change,#balinotforsale
272,@mamu_mam,62,0,0,1,1,change,#balinotforsale
273,@mariabolobolo,23,0,0,1,1,change,#balinotforsale
274,@mariaharada,0,0,0,4,0.395349,change,#balinotforsale
275,@maulipepo,63,0,0,1,1,change,#balinotforsale
276,@mochafrizal_n,0,0,0,4,0.395349,change,#balinotforsale
277,@mozzyosd96,0,0,0,4,0.395349,change,#balinotforsale
278,@muhfaisalDP,23,0,0,1,1,change,#balinotforsale
279,@nevakrnf,23,0,0,1,1,change,#balinotforsale
280,@nhuyul6,0,0,0,4,0.395349,change,#balinotforsale
281,@ntanchrnnsa,64,0,0,1,1,change,#balinotforsale
282,@ogya_rp,23,0,0,1,1,change,#balinotforsale
283,@okayudhistira,0,0,0,4,0.395349,change,#balinotforsale
284,@okkysheviani,23,0,0,1,1,change,#balinotforsale
285,@pongarikyy,65,0,0,1,1,change,#balinotforsale
286,@raditsoyjoy,2,0,0,4,0.34,change,#balinotforsale
287,@ranamemorock,0,0,0,4,0.395349,change,#balinotforsale
288,@rebeccasanjaya,28,0,0,1,1,change,#balinotforsale
289,@rezakaef,0,0,0,4,0.395349,change,#balinotforsale
290,@saalma_NP,23,0,0,1,1,change,#balinotforsale
291,@self_brand,21,0,0,0,0,change,#balinotforsale
292,@smrdiana,66,0,0,1,1,change,#balinotforsale
293,@soniacahyam,28,0,0,1,1,change,#balinotforsale
294,@ssantiiiii,22,0,0,0,0,change,#balinotforsale
295,@surryapradana,25,0,0,1,1,change,#balinotforsale
296,@thio_vodka,0,0,0,4,0.395349,change,#balinotforsale
297,@tiaranazh20,38,0,0,1,1,change,#balinotforsale
298,@votarrock,0,0,0,4,0.395349,change,#balinotforsale
299,@wrd_vodkabilly,0,0,0,4,0.395349,change,#balinotforsale
300,@xRRBx,0,0,0,4,0.395349,change,#balinotforsale
301,@yogi_paramartha,2,0,0,4,0.34,change,#balinotforsale
302,@yogik04,24,0,0,4,0.409091,change,#balinotforsale
303,@yogixpatolan,25,0,0,1,1,change,#balinotforsale
304,@yudi_NLF,34,0,0,1,1,change,#balinotforsale
305,@AskCorbuzier,23,0.161581,0,0,0,change,#balinotforsale
306,@metrorealitas,1,0.006336,0,0,0,change,#balinotforsale
307,@anak_alampic,2,0.103503,0,0,0,change,#balinotforsale
308,@jrx_sid,24,0.015841,0,0,0,change,#balinotforsale
309,@mangku_pastika,25,0.015841,0,0,0,change,#balinotforsale
310,@sentroex_vodkab,4,0.003168,0,0,0,change,#balinotforsale
311,@JRX_SIDpic,2,0.103503,0,0,0,change,#balinotforsale
312,@VANSotw_,5,0.003168,0,0,0,change,#balinotforsale
313,@WalhiBali,1,0.006336,0,0,0,change,#balinotforsale
314,@Hi_Mant,8,0.003168,0,0,0,change,#balinotforsale
315,@aryakencenk,9,0.003168,0,0,0,change,#balinotforsale
316,@Miidundeath,10,0.003168,0,0,0,change,#balinotforsale
317,@erlinmelivera,11,0.003168,0,0,0,change,#balinotforsale
318,@SBYudhoyono,25,0.012673,0,0,0,change,#balinotforsale
319,@Metro_TV,1,0.012673,0,0,0,change,#balinotforsale
320,@ampuradewisripic,2,0.103503,0,0,0,change,#balinotforsale
321,@naviculamusic,1,0.08031,0,0,0,change,#balinotforsale
322,@arianinditasari,17,0.004727,0,0,0,change,#balinotforsale
323,@forbali13,18,0.003168,0,0,0,change,#balinotforsale
324,@haloBali,26,0.009505,0,0,0,change,#balinotforsale
325,@DylanSanjaya,27,0.003168,0,0,0,change,#balinotforsale
326,@AdibaKhanazzahr,28,0.009505,0,0,0,change,#balinotforsale
327,@SID_Official,0,0.019009,0,0,0,change,#balinotforsale
328,@fandi_alif,29,0.003168,0,0,0,change,#balinotforsale
329,@dindha_pratiwi,30,0.003168,0,0,0,change,#balinotforsale
330,@NosstressBali,7,0.003168,0,0,0,change,#balinotforsale
331,@jadeng_,31,0.003168,0,0,0,change,#balinotforsale
332,@GunkMusdananda,32,0.003168,0,0,0,change,#balinotforsale
333,@Gusprama,33,0.003168,0,0,0,change,#balinotforsale
334,@toedee,8,0.003168,0,0,0,change,#balinotforsale
335,@pegok_SuperFun,2,0.003168,0,0,0,change,#balinotforsale
336,@PutraOdon,34,0.006336,0,0,0,change,#balinotforsale
337,@Dinialzahra_,35,0.003168,0,0,0,change,#balinotforsale
338,@Elvaerbe,35,0.003168,0,0,0,change,#balinotforsale
339,@idaayuwidiari,36,0.003168,0,0,0,change,#balinotforsale
340,@mawardiamond,37,0.003168,0,0,0,change,#balinotforsale
341,@askcorbuzier,38,0.006336,0,0,0,change,#balinotforsale
342,@xrmblx,0,0.316825,0,0,0,change,#balinotforsale
343,@MilioHoky,39,0.003168,0,0,0,change,#balinotforsale
344,@Mahatiwi,40,0.003168,0,0,0,change,#balinotforsale
345,@budhie_bekool,41,0.003168,0,0,0,change,#balinotforsale
346,@xNz69x,0,0.003168,0,0,0,change,#balinotforsale
347,@Twice_Bali,42,0.003168,0,0,0,change,#balinotforsale
348,@sarasdewi,12,0.003168,0,0,0,change,#balinotforsale
349,@jaysuck1,43,0.003168,0,0,0,change,#balinotforsale
350,@iddhua_jueleex,44,0.003168,0,0,0,change,#balinotforsale
351,@OSD_BALI,14,0.003168,0,0,0,change,#balinotforsale
352,@YohanGadget,45,0.003168,0,0,0,change,#balinotforsale
353,@Komang_Dhitta,46,0.003168,0,0,0,change,#balinotforsale
354,@ForBALI13,47,0.003168,0,0,0,change,#balinotforsale
355,@bogbogcartoonpic,2,0.032759,0,0,0,change,#balinotforsale
356,@yoga_arsana,48,0.003168,0,0,0,change,#balinotforsale
357,@ladysuck_thata,49,0.003168,0,0,0,change,#balinotforsale
358,@jasmara_osd,50,0.003168,0,0,0,change,#balinotforsale
359,@jangopramartha,2,0.103503,0,0,0,change,#balinotforsale
