topic,term,beta,sumber_data,kasus
3,auto bid,0.0018266959582635268,playsotore_driver,gojek
3,performa turun,0.0018266959582448933,playsotore_driver,gojek
1,teluk benoa,0.06386670414410867,twitter,change
1,reklamasi teluk,0.03839933474939924,twitter,change
1,tolak reklamasi,0.030408078423582802,twitter,change
1,reklamasi bali,0.010483958905182536,twitter,change
1,parade budaya,0.008152732018392337,twitter,change
1,desa adat,0.007851410368848094,twitter,change
1,benoa bali,0.004939146482479969,twitter,change
1,reklamasi benoa,0.0039013475350053277,twitter,change
1,ayo sebarkan,0.003359575112426543,twitter,change
1,bali indah,0.0033488015880225003,twitter,change
1,penolakan reklamasi,0.0031669554432494224,twitter,change
1,rencana reklamasi,0.0030349989664473533,twitter,change
1,tolak tolak,0.002969020728046334,twitter,change
1,batalkan reklamasi,0.00230923702857982,twitter,change
1,lapangan renon,0.002210270986434492,twitter,change
2,dukung gerakan,0.019050598941473144,twitter,change
2,rakyat bali,0.015862379682098113,twitter,change
2,orang bali,0.010394171039888588,twitter,change
2,tanjung benoa,0.010320615733184015,twitter,change
2,bali dukung,0.00728731648829168,twitter,change
2,pro reklamasi,0.004904036072044403,twitter,change
2,ayo dukung,0.004734906144676827,twitter,change
2,suara rakyat,0.004653858783108362,twitter,change
2,harga mati,0.004106051422249505,twitter,change
2,cek timeline,0.0034028330789980304,twitter,change
2,net tv,0.0031072821574441674,twitter,change
2,turun kejalan,0.0031072808077401122,twitter,change
2,lap renon,0.0029775237829856188,twitter,change
2,sukses acara,0.002885333431912442,twitter,change
2,turun jalan,0.002852048663320896,twitter,change
3,makan nasi,0.010155272611412679,twitter,change
3,butuh reklamasi,0.009997826524414033,twitter,change
3,bali bali,0.008503673077067389,twitter,change
3,nasi butuh,0.00680954326269145,twitter,change
3,masyarakat bali,0.006740699058876273,twitter,change
3,subsidi petani,0.006730820219192127,twitter,change
3,bangun bali,0.006056912296754322,twitter,change
3,bali subsidi,0.0056286976102015995,twitter,change
3,petani makan,0.0055893360884519405,twitter,change
3,alam menang,0.005342362915879108,twitter,change
3,mesin diredam,0.0043297673924627715,twitter,change
3,twentyone juli,0.004251031552166711,twitter,change
3,diredam alam,0.004132959783714461,twitter,change
3,junjungan ubud,0.004014875218465476,twitter,change
3,lepas tangan,0.003936152174966156,twitter,change
4,peduli bali,0.008071125833981275,twitter,change
4,kompas tv,0.006297853534441973,twitter,change
4,selamatkan bali,0.004949275275554555,twitter,change
4,jakarta peduli,0.004758918534187075,twitter,change
4,bali edukasi,0.004682775837640078,twitter,change
4,save bali,0.004644704489050267,twitter,change
4,edukasi suara,0.004340133703178612,twitter,change
4,alam indonesia,0.004225919640638855,twitter,change
4,bali reklamasi,0.004149776961811127,twitter,change
4,suara pemerintah,0.004035562916990637,twitter,change
4,jam sore,0.003227989772205883,twitter,change
4,pakai baju,0.0031952319823034384,twitter,change
4,isi petisi,0.0024746376377772707,twitter,change
4,kepalkan tangan,0.002360423592954594,twitter,change
4,bali milik,0.002322352244679703,twitter,change
5,konser mini,0.012440857571155508,twitter,change
5,padang galak,0.01014293343400689,twitter,change
5,pantai padang,0.005703007855347271,twitter,change
5,musisi bali,0.004133723814614097,twitter,change
