kasus,sumber_data,term,value,eksplorasi,topic
change,twitter,malam jam,0.0026251070132863458,topicmodelling,10
gojek,twitter,ojek online,0.015510570506485626,topicmodelling,1
gojek,twitter,driver demo,0.005658772101906964,topicmodelling,1
gojek,twitter,driver ojek,0.0029589383738373356,topicmodelling,1
gojek,twitter,driver gojek,0.002884869279654132,topicmodelling,1
gojek,twitter,gojek error,0.002503716920901647,topicmodelling,1
gojek,twitter,transportasi online,0.0020484957972720036,topicmodelling,1
gojek,twitter,error driver,0.0018208851531306693,topicmodelling,1
gojek,twitter,tarif manusiawi,0.0018208851531306693,topicmodelling,1
gojek,twitter,teman teman,0.0018208851531306693,topicmodelling,1
gojek,twitter,online dilarang,0.0018208449577328063,topicmodelling,1
gojek,twitter,driver ojol,0.0015932745089893355,topicmodelling,1
gojek,twitter,tarif turun,0.0015932745089893355,topicmodelling,1
gojek,twitter,system error,0.0015932740021711981,topicmodelling,1
gojek,twitter,terima kasih,0.001365663864848001,topicmodelling,1
gojek,twitter,tinggalkanlah kesenangan,0.001365663864848001,topicmodelling,1
gojek,twitter,transportasi online,0.0103877223544729,topicmodelling,2
gojek,twitter,ojek online,0.009234865349766313,topicmodelling,2
gojek,twitter,tarif gojek,0.003962495149266316,topicmodelling,2
gojek,twitter,orang orang,0.0033150560897532524,topicmodelling,2
gojek,twitter,supir angkot,0.0030939722763925555,topicmodelling,2
gojek,twitter,angkutan online,0.002873199800173413,topicmodelling,2
gojek,twitter,berkibar twitter,0.002873199800173413,topicmodelling,2
gojek,twitter,online berkibar,0.002873199800173413,topicmodelling,2
gojek,twitter,dukung ojek,0.002844649973777861,topicmodelling,2
gojek,twitter,kisah nyata,0.0024311690616851973,topicmodelling,2
gojek,twitter,star wars,0.0024311690616851973,topicmodelling,2
gojek,twitter,tolak perubahan,0.0022101536924410883,topicmodelling,2
gojek,twitter,trending indonesia,0.0022101536924410883,topicmodelling,2
gojek,twitter,tarif murah,0.001989138323196892,topicmodelling,2
gojek,twitter,gojek gojek,0.0019891383230594634,topicmodelling,2
gojek,twitter,ojek online,0.009172287900996515,topicmodelling,3
gojek,twitter,driver gojek,0.0071830502105945234,topicmodelling,3
gojek,twitter,tarif driver,0.005333053805801409,topicmodelling,3
gojek,twitter,terima kasih,0.0035553692038714038,topicmodelling,3
gojek,twitter,toilet twothousand,0.00302969302657873,topicmodelling,3
gojek,twitter,kasihan driver,0.0024215133334368837,topicmodelling,3
gojek,twitter,kekuatan terbesar,0.0022221057524196273,topicmodelling,3
gojek,twitter,mengalahkan stress,0.0022221057524196273,topicmodelling,3
gojek,twitter,terbesar mengalahkan,0.0022221057524196273,topicmodelling,3
gojek,twitter,supir metromini,0.001999895177177665,topicmodelling,3
gojek,twitter,metromini gelar,0.0017776846019357019,topicmodelling,3
gojek,twitter,onethousandsixhundred toilet,0.0017776846019357019,topicmodelling,3
gojek,twitter,paraf petisi,0.0017776846019357019,topicmodelling,3
gojek,twitter,samarinda paraf,0.0017776846019357019,topicmodelling,3
gojek,twitter,driver murah,0.0015554739845042129,topicmodelling,3
gojek,twitter,anak bangsa,0.011196391960385993,topicmodelling,4
gojek,twitter,karya anak,0.005822123894380428,topicmodelling,4
gojek,twitter,driver gojek,0.005598196052288876,topicmodelling,4
